Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,OriginalTimestamp
lokeshpq1.normal.csv,3.206134,1.433647,0.373263,0.209768,0.220884,765.370789,151.066452,39.421825,7.685565,0.727679,3.630186,1.578258,0.382586,0.145805,0.218304,2.764044,0.900181,0.36184,0.184597,0.140469,6.15104,1.287676,0.443646,0.227681,0.089099,115.420937,9.461847,5.408246,0.994117,0.335883,0.754226,0.802321,0.26008,0.093397,0.076087,1.087796,1.503039,0.360038,0.122774,0.108359,1.109879,1.121807,0.365128,0.18659,0.110261,0.988568,1.097164,0.289212,0.12914,0.124855,5.205716,2.5665,0.53338,0.340261,0.278767,5.736269,2.732095,0.439008,0.246154,0.212461,4.212601,1.425927,0.402109,0.232617,0.200549,8.038827,2.410176,0.875952,0.276352,0.261897,
lokeshpq1.normal.csv,3.741071,1.514668,0.290169,0.235111,0.193251,1154.343994,221.423584,56.915386,10.943416,1.008506,3.760531,1.687169,0.313131,0.169513,0.211664,3.085734,0.92568,0.309543,0.191012,0.138814,8.806865,1.89423,0.610357,0.291812,0.088469,102.468315,8.854422,6.446727,1.106774,0.389792,0.769061,0.894409,0.26439,0.101668,0.074191,1.117331,1.446139,0.287123,0.140817,0.104844,1.009233,1.066498,0.369795,0.188134,0.116667,0.987606,0.984398,0.283478,0.117763,0.131347,4.881004,2.67267,0.593,0.302884,0.247864,6.261681,2.483691,0.321986,0.249568,0.213042,5.021953,1.258807,0.349181,0.203813,0.182518,8.106647,2.340235,0.7784,0.268025,0.241,
lokeshpq1.normal.csv,4.048237,1.724978,0.244546,0.268363,0.16302,1473.450562,272.940613,69.346382,13.212278,1.204908,3.767766,1.903504,0.246123,0.202248,0.198399,3.274875,1.062253,0.239475,0.200961,0.134868,10.935769,2.386821,0.747802,0.343287,0.090374,154.874924,11.820113,9.789557,1.487327,0.573533,0.763204,0.930951,0.264849,0.114375,0.079322,1.087259,1.370946,0.24692,0.162628,0.099924,0.885945,0.957218,0.407217,0.186391,0.124145,0.978602,0.877926,0.359276,0.10982,0.133153,4.368917,2.888218,0.71255,0.287455,0.215052,6.434243,2.376904,0.25977,0.256408,0.208803,5.964665,1.176997,0.391812,0.189073,0.163008,6.769766,2.22583,0.700065,0.272847,0.221057,
lokeshpq1.normal.csv,3.96521,2.112514,0.256795,0.299936,0.136257,1612.44519,287.627472,72.130936,13.710455,1.246189,3.538487,2.256977,0.204101,0.235655,0.17846,3.097585,1.308349,0.174395,0.209993,0.129452,11.636148,2.616003,0.80963,0.364464,0.095905,252.943924,18.725657,15.37275,2.052547,0.863725,0.726734,0.907195,0.264285,0.126445,0.089728,0.996391,1.295506,0.24849,0.181894,0.095763,0.72947,0.807035,0.47835,0.183856,0.132577,0.911204,0.792567,0.515295,0.10912,0.130511,3.75207,3.142352,0.888336,0.290149,0.18945,6.16346,2.511757,0.274157,0.265172,0.200081,6.986621,1.187471,0.55826,0.20092,0.149359,5.912959,2.143297,0.702328,0.295897,0.202362,
lokeshpq1.normal.csv,3.592994,2.609432,0.329394,0.320568,0.117655,1525.423584,259.760223,64.176407,12.266367,1.117055,3.151635,2.679744,0.196598,0.259887,0.154866,2.595381,1.613302,0.136478,0.212936,0.12408,10.714029,2.512025,0.780111,0.350275,0.106505,361.922729,28.32687,22.112843,2.708455,1.192381,0.666442,0.831171,0.262057,0.132702,0.101188,0.871473,1.227276,0.296799,0.194365,0.095382,0.58792,0.644113,0.575055,0.181316,0.141086,0.787016,0.731008,0.733262,0.116651,0.125755,3.299027,3.339257,1.108404,0.303873,0.175962,5.545401,2.856297,0.36791,0.275286,0.187889,8.275251,1.261982,0.830108,0.242389,0.146472,4.610476,2.158489,0.796675,0.332059,0.184481,
lokeshpq1.normal.csv,3.068773,3.074808,0.44638,0.325053,0.10884,1234.266724,199.783569,48.390533,9.391905,0.867177,2.682612,3.057963,0.220602,0.269433,0.133704,1.913177,1.909545,0.133062,0.207101,0.121309,8.450275,2.132602,0.676043,0.307593,0.124165,445.760132,37.677517,28.357471,3.332592,1.466201,0.591391,0.718758,0.254565,0.13044,0.109522,0.73151,1.166753,0.391929,0.199734,0.101407,0.471617,0.509232,0.684047,0.178015,0.148244,0.650719,0.696628,0.982811,0.130139,0.12222,3.194749,3.414522,1.355851,0.322193,0.173783,4.782339,3.283844,0.529264,0.287127,0.174648,9.665832,1.339677,1.160206,0.304435,0.155353,4.26993,2.284312,0.960292,0.36913,0.169421,
lokeshpq1.normal.csv,2.591573,3.362956,0.58198,0.314422,0.108237,846.830872,128.188004,30.246984,6.047965,0.586228,2.238023,3.281033,0.270229,0.264267,0.121372,1.32977,2.14843,0.158514,0.193151,0.124649,5.72903,1.612574,0.535019,0.251805,0.150437,485.411682,44.511044,32.363403,3.808806,1.600349,0.525786,0.590006,0.236621,0.120067,0.112993,0.610488,1.117552,0.522634,0.200273,0.114542,0.408764,0.438641,0.784723,0.172613,0.152918,0.56023,0.695271,1.215454,0.145583,0.122821,3.280042,3.373279,1.589059,0.341223,0.177974,4.027127,3.647476,0.729052,0.299785,0.163683,10.880972,1.382596,1.470164,0.369787,0.172866,4.20817,2.493826,1.132234,0.396896,0.162035,
lokeshpq1.normal.csv,2.274525,3.377628,0.705157,0.293592,0.112731,483.223236,66.407814,15.007994,3.195592,0.360285,1.922604,3.276743,0.336927,0.248846,0.121227,1.094658,2.287575,0.198243,0.1749,0.136424,3.355899,1.111582,0.402184,0.198824,0.18393,467.730377,47.410435,32.991642,4.078745,1.553905,0.484327,0.463521,0.208002,0.10466,0.112444,0.521671,1.074316,0.660193,0.198617,0.132435,0.397372,0.439455,0.853286,0.16446,0.154312,0.562373,0.714731,1.369424,0.160104,0.12844,3.389025,3.251892,1.745151,0.361088,0.183597,3.412734,3.817507,0.925516,0.310543,0.15787,11.527196,1.379315,1.672612,0.419417,0.193339,4.31322,2.703462,1.270148,0.413266,0.166719,
lokeshpq1.normal.csv,2.107523,3.122253,0.791143,0.268597,0.119824,227.708115,26.710955,5.57755,1.38115,0.234154,1.719544,3.05633,0.407945,0.228718,0.13164,1.307238,2.299232,0.235466,0.156792,0.155228,1.864143,0.736617,0.307948,0.158736,0.218805,407.823151,47.014091,30.303707,4.160152,1.349802,0.466726,0.354252,0.175407,0.088688,0.109758,0.492489,1.035176,0.768077,0.196788,0.149996,0.445863,0.493473,0.867553,0.153106,0.151749,0.655596,0.737831,1.396825,0.172208,0.137154,3.24555,3.112726,1.769577,0.384109,0.189498,2.932302,3.752776,1.07477,0.316316,0.158264,11.45359,1.3464,1.712276,0.440041,0.212723,4.583726,2.879054,1.366033,0.423928,0.18512,
lokeshpq1.normal.csv,2.010871,2.685496,0.825784,0.243533,0.128604,94.749847,9.077112,1.683103,0.581192,0.198532,1.652397,2.696124,0.473402,0.2087,0.146569,1.960637,2.182088,0.261257,0.142886,0.175556,1.290306,0.513042,0.256683,0.132653,0.24594,331.921906,44.91964,25.351902,4.078225,1.064869,0.454965,0.269644,0.148921,0.076075,0.106533,0.53583,0.996416,0.814755,0.195469,0.161204,0.553241,0.558544,0.813223,0.139469,0.145145,0.806178,0.744512,1.281691,0.182641,0.145563,2.931291,2.980431,1.643072,0.41127,0.198067,2.58465,3.497205,1.151139,0.315134,0.163086,10.853659,1.332986,1.6005,0.4354,0.231868,4.159021,3.036573,1.445979,0.436023,0.214594,
