Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,OriginalTimestamp
lokeshpq1.normal.csv,2.917353,0.964309,0.729512,0.398528,0.420272,367.938873,9.027817,1.027034,0.398366,0.32167,2.885798,0.826187,0.708585,0.464818,0.279138,2.271059,1.011027,0.848349,0.352539,0.420869,2.443041,0.479855,0.368379,0.432716,0.152867,24.908413,30.434763,4.952278,0.817219,0.380311,0.835849,1.035021,0.218123,0.173009,0.172632,2.162503,1.7313,0.492204,0.344227,0.16056,1.736378,1.342532,0.325868,0.234073,0.158033,3.366479,1.372017,0.564222,0.398589,0.347396,6.163238,2.913432,1.320933,0.575945,0.519972,5.982331,2.065349,0.794352,0.627309,0.318405,54.235809,4.867581,2.183092,0.481882,0.723719,61.378616,6.018857,0.996079,0.645464,0.514872,
lokeshpq1.normal.csv,2.131251,0.693952,0.693927,0.376675,0.410455,330.802032,7.179635,1.453167,0.50667,0.289447,2.452818,0.804364,0.629835,0.435555,0.265968,2.269197,1.13205,0.84598,0.375828,0.368334,2.304253,0.360436,0.473388,0.477053,0.157999,37.762173,36.341099,4.196526,0.98643,0.367424,1.027923,0.94553,0.204371,0.143063,0.16241,2.798234,1.648795,0.471078,0.317567,0.166745,2.202669,1.347399,0.368037,0.209079,0.156488,4.039693,1.46067,0.644824,0.357768,0.329239,7.071068,3.507325,1.417446,0.507395,0.512326,5.39464,2.152249,0.760459,0.530582,0.324701,44.541286,4.825062,2.339705,0.431991,0.678753,48.598366,4.862278,0.967226,0.593094,0.500645,
lokeshpq1.normal.csv,1.519183,0.588222,0.65048,0.346303,0.391419,287.05661,6.065035,2.295406,0.626704,0.255999,2.104062,0.955441,0.521716,0.390139,0.247062,2.645244,1.266,0.824168,0.39511,0.319998,2.064383,0.305969,0.598279,0.495717,0.172935,51.824619,40.296474,3.217392,1.114937,0.349534,1.359159,0.880111,0.202951,0.114291,0.159321,3.46145,1.560843,0.469463,0.279966,0.170402,2.805274,1.335507,0.455382,0.184034,0.156051,4.876393,1.541777,0.718068,0.309891,0.308082,7.833606,3.976079,1.506628,0.469466,0.479021,5.041914,2.419747,0.699969,0.436959,0.325803,35.021797,4.598656,2.406262,0.365475,0.599526,38.74527,4.330441,0.995865,0.518591,0.476237,
lokeshpq1.normal.csv,1.281852,0.647986,0.61652,0.320518,0.37216,262.996429,6.341666,3.711283,0.728916,0.234977,1.849776,1.251977,0.408911,0.339468,0.233223,3.174764,1.366914,0.779134,0.407286,0.296586,1.945366,0.294974,0.707043,0.496433,0.197456,62.077232,40.71603,2.270832,1.150175,0.337331,1.697767,0.847959,0.207785,0.093415,0.164529,3.938306,1.50058,0.487397,0.247865,0.176037,3.420661,1.327264,0.5715,0.166574,0.161531,5.677912,1.617301,0.7751,0.267705,0.293943,8.101244,4.220412,1.59259,0.471945,0.440135,4.842671,2.814634,0.613875,0.373639,0.329333,29.902227,4.272272,2.386436,0.303071,0.513392,34.740307,4.573195,1.152738,0.444451,0.456325,
lokeshpq1.normal.csv,1.481617,0.801982,0.612192,0.311967,0.357773,285.25882,8.013814,5.694934,0.795664,0.232542,1.712503,1.584589,0.320914,0.295948,0.231416,3.700322,1.408675,0.715158,0.409994,0.305188,2.112505,0.298272,0.768373,0.492349,0.227382,69.115982,37.11956,1.616371,1.073842,0.341563,2.050383,0.839923,0.215541,0.083903,0.175483,4.092805,1.47268,0.516484,0.233726,0.187024,3.932438,1.341758,0.689206,0.163794,0.177018,6.267729,1.677576,0.802261,0.239263,0.292441,7.739186,4.167489,1.666983,0.508212,0.417719,4.628698,3.188454,0.524162,0.35181,0.341813,28.342335,3.934214,2.31814,0.267935,0.446361,37.935299,5.213797,1.482286,0.391175,0.450486,
lokeshpq1.normal.csv,1.982397,0.965632,0.648722,0.326592,0.345923,350.623322,10.525714,7.942283,0.822331,0.245729,1.657155,1.834522,0.27594,0.266111,0.240393,3.96885,1.394128,0.65521,0.400792,0.335074,2.68468,0.309119,0.76931,0.492325,0.255323,71.863457,30.387018,1.39488,0.91351,0.366041,2.307174,0.832952,0.220194,0.084254,0.187357,3.91502,1.448182,0.53608,0.239249,0.203322,4.234643,1.371901,0.773597,0.175614,0.202374,6.488378,1.69545,0.782625,0.223351,0.301208,6.834637,3.815757,1.701131,0.558447,0.422832,4.298631,3.387093,0.45311,0.362214,0.362957,30.098391,3.600085,2.227042,0.276172,0.41058,44.890213,5.690571,1.98306,0.368851,0.457339,
lokeshpq1.normal.csv,2.559325,1.08955,0.7233,0.360849,0.329001,448.807953,13.145028,9.891732,0.810222,0.264595,1.649149,1.940484,0.273044,0.249431,0.251939,3.837089,1.346439,0.622791,0.381839,0.363817,3.552373,0.333522,0.716114,0.496036,0.273662,72.604958,22.818468,1.69862,0.751997,0.407532,2.426174,0.800197,0.218278,0.09058,0.194803,3.5111,1.38409,0.524454,0.258853,0.221281,4.257796,1.393855,0.799795,0.195883,0.232288,6.297666,1.649862,0.711103,0.213505,0.312387,5.624287,3.249386,1.673321,0.603155,0.449128,3.94558,3.336909,0.413559,0.385999,0.384904,31.752895,3.292781,2.142767,0.326595,0.400602,51.888962,5.627586,2.564115,0.374875,0.465645,
lokeshpq1.normal.csv,2.977513,1.155596,0.8223,0.405765,0.300058,561.152283,15.073938,10.902532,0.765254,0.279047,1.647167,1.904383,0.299964,0.24259,0.25601,3.37722,1.293403,0.631779,0.358722,0.370442,4.574017,0.371204,0.630443,0.494407,0.27829,83.499023,17.381231,2.932786,0.789789,0.478291,2.350823,0.725461,0.209348,0.099776,0.193457,3.035111,1.255278,0.469049,0.283761,0.234527,3.996716,1.381211,0.761593,0.217438,0.257735,5.764475,1.541144,0.596196,0.204488,0.317228,4.512413,2.620064,1.574556,0.631503,0.476904,3.675719,3.067765,0.402938,0.406435,0.395781,33.567978,3.061813,2.064504,0.403275,0.39883,55.264507,4.921574,3.034976,0.399231,0.461534,
lokeshpq1.normal.csv,3.105024,1.185305,0.9256,0.451447,0.258048,653.766663,15.852792,10.618517,0.694197,0.283504,1.623682,1.789623,0.344844,0.244076,0.246241,2.773008,1.312734,0.686278,0.335273,0.346074,5.455085,0.415104,0.539453,0.476164,0.270056,119.443535,17.801693,5.790228,1.302795,0.612007,2.103996,0.619972,0.201613,0.110103,0.181586,2.617214,1.069242,0.379103,0.306077,0.23706,3.51607,1.306087,0.67463,0.234117,0.269797,5.031323,1.383757,0.461959,0.195215,0.310705,3.767385,2.077212,1.420708,0.642205,0.48534,3.545959,2.685164,0.414621,0.416479,0.385844,33.177132,2.9245,1.981351,0.484987,0.387784,51.892269,3.834619,3.255518,0.431579,0.436442,
lokeshpq1.normal.csv,2.951504,1.219597,1.006767,0.487553,0.209344,687.468872,15.112739,9.127618,0.6068,0.277296,1.579486,1.672804,0.391047,0.254651,0.22283,2.2101,1.49603,0.75659,0.313014,0.296523,5.970508,0.450475,0.46155,0.436236,0.253321,194.472137,26.333273,10.704344,2.445472,0.834502,1.717268,0.513646,0.20581,0.121756,0.161325,2.270716,0.862297,0.282462,0.321449,0.226723,2.904552,1.149116,0.56815,0.242762,0.264265,4.314648,1.227206,0.346798,0.190456,0.294552,3.410495,1.710395,1.246048,0.639751,0.463801,3.498294,2.3056,0.440103,0.419927,0.353238,30.381054,2.813703,1.870271,0.554152,0.3604,43.371296,2.69879,3.160332,0.469587,0.392186,
lokeshpq1.normal.csv,2.635317,1.294751,1.041376,0.505505,0.165456,649.94458,13.088379,6.887736,0.512934,0.263224,1.559301,1.602964,0.422565,0.27341,0.192386,1.920028,1.903255,0.806998,0.290014,0.236756,5.930341,0.46542,0.401883,0.378763,0.233195,298.953125,41.952576,17.154617,4.092566,1.131058,1.302404,0.440053,0.229056,0.13416,0.138565,1.948311,0.686566,0.208429,0.326999,0.205859,2.285168,0.932629,0.472878,0.241968,0.243656,4.163805,1.19793,0.308641,0.214273,0.277904,3.278353,1.561238,1.092748,0.632222,0.417693,3.417421,2.011392,0.473045,0.422418,0.305887,25.41571,2.716046,1.711702,0.600037,0.322942,32.347763,1.788683,2.782355,0.516919,0.340749,
lokeshpq1.normal.csv,2.332904,1.416772,1.012266,0.499864,0.13648,542.987488,10.255834,4.544528,0.426968,0.244442,1.625295,1.579876,0.430397,0.29656,0.164837,1.811747,2.510495,0.809668,0.265269,0.182454,5.466067,0.458373,0.355302,0.312753,0.21382,412.844513,60.007683,23.650723,5.827549,1.436221,0.939824,0.415522,0.271355,0.144699,0.120461,1.590783,0.595331,0.174333,0.320165,0.179535,1.755478,0.708219,0.409416,0.232417,0.215251,5.050874,1.445563,0.386741,0.294363,0.271096,3.113914,1.608717,0.978909,0.62855,0.362431,3.178097,1.813578,0.505351,0.425915,0.256707,19.199455,2.648655,1.497945,0.619306,0.286851,22.838331,1.243104,2.235303,0.573997,0.296315,
lokeshpq1.normal.csv,2.154175,1.571907,0.914525,0.469442,0.125267,402.262238,7.402528,2.631876,0.357779,0.223352,1.846292,1.597516,0.409828,0.317743,0.148133,2.069965,3.193942,0.763971,0.240063,0.143264,4.696455,0.438585,0.31054,0.2516,0.197817,502.753723,74.438744,28.398626,7.111969,1.655466,0.704994,0.433199,0.321291,0.149536,0.112036,1.243816,0.621069,0.178883,0.299032,0.153042,1.408687,0.527464,0.379665,0.216103,0.186862,7.246893,2.010609,0.575508,0.437938,0.278336,2.85174,1.775838,0.891537,0.627144,0.312667,2.869994,1.677843,0.521043,0.425307,0.216578,13.226315,2.609039,1.23407,0.610417,0.259592,16.243952,1.027102,1.683694,0.63201,0.267347,
lokeshpq1.normal.csv,2.135893,1.749394,0.755293,0.41906,0.127424,262.001404,5.038858,1.404715,0.311406,0.202519,2.258087,1.664705,0.360564,0.334181,0.144993,2.382534,3.782129,0.685625,0.216019,0.121197,3.849091,0.41979,0.260055,0.207627,0.186693,536.196655,80.203194,29.726736,7.50848,1.706019,0.603781,0.466894,0.357607,0.14589,0.114338,0.970042,0.768354,0.204929,0.266694,0.130455,1.247557,0.431964,0.3733,0.195387,0.163725,10.315261,2.811627,0.825709,0.623216,0.295462,2.436993,2.010972,0.801313,0.620572,0.276834,2.668026,1.579057,0.506257,0.416586,0.190959,8.463254,2.622817,0.955893,0.584161,0.242388,13.16097,1.002515,1.260978,0.678463,0.253281,
lokeshpq1.normal.csv,2.231073,1.956233,0.564631,0.361046,0.136192,153.298035,3.340926,0.776449,0.285401,0.185375,2.813843,1.800588,0.296869,0.35264,0.152956,2.902821,4.122191,0.608478,0.196295,0.114196,3.033484,0.415028,0.209388,0.187459,0.181608,499.838959,75.336693,27.129446,6.880301,1.556417,0.58555,0.492647,0.363727,0.134737,0.124938,0.796593,1.005794,0.234359,0.233377,0.113733,1.182517,0.429256,0.382261,0.173301,0.14772,13.475979,3.613946,1.065291,0.807102,0.311867,2.180738,2.261513,0.699036,0.607699,0.256239,2.76571,1.508284,0.464042,0.406413,0.180589,6.205459,2.709331,0.728629,0.562466,0.231692,11.602111,1.056748,1.034167,0.700576,0.247516,
lokeshpq1.normal.csv,2.343409,2.198193,0.386417,0.308036,0.14742,85.748619,2.267843,0.50455,0.272905,0.175851,3.416566,2.011599,0.240429,0.382718,0.166582,3.327152,4.144567,0.555476,0.184369,0.120597,2.336744,0.429227,0.167608,0.187956,0.183354,403.740295,61.788692,21.460068,5.458401,1.245063,0.583962,0.507434,0.340887,0.121117,0.139078,0.726315,1.287394,0.254814,0.213482,0.102533,1.111923,0.513684,0.39941,0.15542,0.138016,15.535286,4.140812,1.229663,0.941801,0.316636,2.306832,2.479449,0.612081,0.592696,0.246902,3.264746,1.471374,0.41358,0.410894,0.182711,6.406999,2.86723,0.628484,0.565604,0.222397,10.561444,1.14925,0.974316,0.689692,0.243431,
lokeshpq1.normal.csv,2.459332,2.460138,0.265258,0.269015,0.159869,49.39809,1.796776,0.387655,0.26595,0.177008,3.959196,2.269231,0.212305,0.42945,0.179739,3.847235,3.88412,0.529459,0.183615,0.138995,1.773578,0.458946,0.138657,0.199158,0.191186,279.816284,44.399906,14.582247,3.718675,0.864059,0.581229,0.517167,0.300667,0.111921,0.151715,0.748107,1.555609,0.263836,0.220831,0.095005,0.992331,0.661245,0.415507,0.151113,0.132933,15.734911,4.202067,1.28704,0.995171,0.303917,2.881961,2.647698,0.626604,0.584125,0.244804,4.116171,1.486346,0.383245,0.450294,0.192257,7.850072,3.084795,0.715159,0.603123,0.211417,9.254432,1.293953,1.024068,0.646248,0.238178,
lokeshpq1.normal.csv,2.520795,2.677296,0.219014,0.248428,0.174012,29.051777,1.659687,0.337081,0.261353,0.189543,4.305285,2.494361,0.223197,0.487759,0.187938,4.313208,3.449798,0.508771,0.19455,0.166797,1.29513,0.493173,0.121349,0.211075,0.204528,169.850677,28.390736,8.472758,2.175834,0.521532,0.557842,0.531187,0.257952,0.111845,0.16059,0.820619,1.742565,0.267066,0.260144,0.089546,0.849613,0.821108,0.42723,0.166597,0.133074,13.92602,3.7493,1.242335,0.964437,0.276321,3.835776,2.742687,0.851804,0.594986,0.251512,5.051117,1.532008,0.397112,0.533583,0.204754,9.402982,3.273535,0.968792,0.668396,0.199786,7.65466,1.467624,1.120797,0.58194,0.232484,
lokeshpq1.normal.csv,2.570104,2.762378,0.236668,0.245138,0.19102,17.22057,1.673095,0.301689,0.262214,0.210279,4.461715,2.587541,0.270127,0.539751,0.190665,4.671346,2.964166,0.470455,0.211993,0.200011,0.960149,0.51119,0.114214,0.218938,0.224233,101.267975,17.135223,4.3533,1.144166,0.298262,0.567168,0.550566,0.225155,0.120729,0.167585,0.95747,1.793888,0.27623,0.322334,0.085795,0.741786,0.93867,0.434143,0.201264,0.140905,10.645039,2.922094,1.128885,0.871505,0.241907,4.908216,2.727618,1.339874,0.632417,0.271554,5.923768,1.551733,0.462201,0.645294,0.21876,9.789676,3.316639,1.290333,0.734696,0.191066,6.129031,1.623051,1.196143,0.509268,0.229023,
lokeshpq1.normal.csv,2.557012,2.669087,0.285776,0.253018,0.210911,11.85747,1.735902,0.281442,0.267034,0.232942,4.418825,2.492416,0.335918,0.562751,0.190649,4.826242,2.556207,0.407093,0.226466,0.232766,0.778512,0.507696,0.113562,0.220378,0.250941,74.99295,11.133245,2.446851,0.657024,0.215655,0.630111,0.571193,0.20957,0.13338,0.176141,1.033542,1.693525,0.307707,0.386606,0.084207,0.656807,0.97506,0.437255,0.245329,0.157255,7.057036,1.974334,0.981974,0.74995,0.209653,5.558427,2.605266,2.025564,0.692622,0.305647,6.22213,1.508704,0.56155,0.748694,0.234971,8.847136,3.159767,1.54942,0.768749,0.187987,5.121714,1.731382,1.198385,0.437416,0.229925,
lokeshpq1.normal.csv,2.539814,2.427528,0.331878,0.262528,0.231451,10.113565,1.775056,0.274093,0.276223,0.250474,4.376711,2.2388,0.397279,0.541382,0.191599,4.738984,2.315057,0.331291,0.230344,0.258821,0.705871,0.486501,0.11656,0.21877,0.282561,74.302368,8.336367,2.073216,0.54301,0.239675,0.792464,0.587678,0.210953,0.143031,0.188101,1.0965,1.469479,0.369292,0.432168,0.085105,0.637387,0.920612,0.43404,0.284713,0.178876,3.993785,1.172741,0.829627,0.629163,0.186531,5.80341,2.428386,2.726833,0.762249,0.347502,6.194579,1.410665,0.658849,0.803708,0.253913,6.962374,2.847912,1.653824,0.743745,0.190524,4.976871,1.808984,1.117741,0.372706,0.235063,
lokeshpq1.normal.csv,2.507275,2.14089,0.361778,0.264872,0.247938,9.502973,1.763176,0.27044,0.29231,0.25784,4.435261,1.925157,0.43845,0.477327,0.195695,4.430535,2.249781,0.26263,0.22109,0.273717,0.694293,0.464841,0.124971,0.226103,0.313572,90.278114,7.387577,2.750829,0.693529,0.329527,1.053617,0.596426,0.229845,0.145069,0.202281,1.135511,1.180097,0.451451,0.446729,0.088021,0.682589,0.801271,0.423224,0.307464,0.198488,2.06107,0.680053,0.691133,0.523948,0.175313,5.493626,2.304265,3.220483,0.821794,0.384885,5.950467,1.310133,0.720403,0.788108,0.274114,5.098689,2.515154,1.569627,0.657474,0.195756,5.680649,1.90998,0.974801,0.316281,0.241941,
lokeshpq1.normal.csv,2.482171,1.95344,0.379327,0.257916,0.255203,8.920218,1.779739,0.267193,0.317955,0.254063,4.608511,1.688596,0.452328,0.388752,0.201676,4.00274,2.328001,0.210674,0.203413,0.276275,0.658323,0.468938,0.139132,0.254667,0.336603,125.55867,8.923082,4.452461,1.145248,0.475404,1.328831,0.596277,0.264057,0.139468,0.214874,1.151851,0.893529,0.529725,0.428483,0.091509,0.77468,0.666131,0.403092,0.306586,0.207353,1.200811,0.521163,0.573921,0.435107,0.174346,4.787174,2.341085,3.342432,0.849099,0.40517,5.601744,1.265494,0.72533,0.705869,0.291602,3.835208,2.281705,1.335169,0.536182,0.200219,6.737868,2.118263,0.815771,0.26629,0.247189,
lokeshpq1.normal.csv,2.463866,1.986264,0.400964,0.246527,0.249719,8.418275,1.819275,0.265952,0.353795,0.242781,4.793425,1.633169,0.439861,0.303056,0.205696,3.536744,2.506763,0.185445,0.18969,0.268591,0.615295,0.53231,0.159873,0.308035,0.347087,180.348419,14.154268,7.418616,1.969692,0.674318,1.574701,0.592046,0.311589,0.130452,0.221156,1.136203,0.661558,0.577187,0.386368,0.09449,0.874536,0.560787,0.372009,0.281345,0.199595,0.960748,0.600785,0.477719,0.356666,0.179872,3.78745,2.632754,3.059871,0.8277,0.400869,5.168699,1.337197,0.676162,0.586435,0.301682,3.120628,2.220792,1.033166,0.423304,0.201758,7.020676,2.520155,0.675039,0.223021,0.248144,
lokeshpq1.normal.csv,2.423277,2.259819,0.446653,0.238072,0.231926,8.546595,1.864797,0.265689,0.395475,0.229331,4.806813,1.771932,0.412541,0.24138,0.20427,3.072267,2.724283,0.211498,0.192791,0.255073,0.523128,0.671691,0.189982,0.37645,0.346393,257.150665,22.507616,11.398515,3.065572,0.89834,1.677184,0.601734,0.365032,0.123918,0.217828,1.106495,0.523913,0.583133,0.335434,0.097366,0.934842,0.509796,0.333424,0.237869,0.175208,0.892582,0.801822,0.405193,0.288945,0.188066,2.908691,3.170963,2.497229,0.756201,0.372947,4.648378,1.559235,0.605028,0.469357,0.30105,3.564612,2.307621,0.753195,0.353353,0.199365,6.839026,3.170492,0.571575,0.189045,0.243648,
lokeshpq1.normal.csv,2.334458,2.667236,0.51666,0.23754,0.206294,8.966018,1.900725,0.278922,0.431921,0.217344,4.554647,2.012979,0.38191,0.20987,0.19659,2.654815,2.91405,0.303088,0.218589,0.240556,0.436508,0.868427,0.235877,0.438749,0.340139,329.582184,31.531868,15.423698,4.147097,1.094526,1.652188,0.63002,0.411955,0.123069,0.204553,1.039287,0.483488,0.557789,0.288877,0.101361,0.929202,0.507524,0.297795,0.186231,0.140399,0.77045,1.067951,0.369604,0.243457,0.194686,2.093709,3.816081,1.87528,0.649161,0.329857,3.907937,1.916433,0.554864,0.385938,0.288938,4.5363,2.433309,0.56101,0.337732,0.193092,6.328938,3.994623,0.505675,0.167081,0.234525,
lokeshpq1.normal.csv,2.203619,3.054462,0.582284,0.244946,0.180002,9.718599,1.873999,0.296436,0.448341,0.207748,4.112137,2.243336,0.35152,0.198609,0.184656,2.304377,3.011814,0.457387,0.262035,0.22886,0.348869,1.076952,0.295986,0.470016,0.334945,376.256744,38.013668,18.223446,4.858059,1.205498,1.51585,0.661824,0.437335,0.126391,0.183413,0.993441,0.521233,0.514065,0.252146,0.107148,0.864382,0.550571,0.270808,0.136867,0.104615,0.709058,1.353051,0.361301,0.224179,0.196576,1.609037,4.378772,1.411502,0.53194,0.283862,3.080832,2.392188,0.544785,0.345172,0.267792,6.366155,2.473442,0.476616,0.359347,0.184601,5.970751,4.844567,0.464653,0.157822,0.224347,
lokeshpq1.normal.csv,2.083538,3.30007,0.606222,0.255699,0.159875,10.371479,1.75982,0.315599,0.435228,0.20024,3.680589,2.390189,0.323438,0.190935,0.171433,2.037536,2.98417,0.643733,0.308825,0.221571,0.294272,1.238522,0.361162,0.454897,0.335508,378.161407,39.421349,18.714325,4.943117,1.194641,1.297779,0.677159,0.432785,0.128284,0.157753,0.933212,0.617178,0.464458,0.222856,0.114473,0.77399,0.644909,0.257681,0.097665,0.07715,0.716374,1.616066,0.362694,0.225727,0.192154,1.315704,4.68285,1.231564,0.43189,0.24542,2.316188,2.950799,0.566409,0.332212,0.242631,8.292846,2.398752,0.495735,0.386777,0.176384,6.020802,5.528779,0.443283,0.158452,0.218263,
lokeshpq1.normal.csv,2.069619,3.359905,0.571882,0.265568,0.150562,10.511798,1.600284,0.332776,0.394641,0.194539,3.562611,2.440698,0.306167,0.17925,0.159392,1.916051,2.861183,0.829127,0.342707,0.217494,0.320546,1.310539,0.414756,0.394963,0.342161,333.276031,35.111328,16.611515,4.366163,1.063406,1.084569,0.664411,0.399649,0.12378,0.131491,0.921217,0.755239,0.429153,0.198179,0.12253,0.740938,0.800223,0.262359,0.073066,0.064075,0.843455,1.821704,0.362158,0.23968,0.182374,1.301106,4.621006,1.324759,0.369982,0.219162,1.925198,3.527427,0.607464,0.32759,0.219587,10.910278,2.2859,0.579957,0.398355,0.171271,6.542892,5.887661,0.455443,0.166294,0.221024,
lokeshpq1.normal.csv,2.32998,3.305362,0.498101,0.273521,0.154331,10.097272,1.488552,0.357169,0.339812,0.191015,3.937987,2.46466,0.320778,0.16615,0.150176,2.171775,2.768898,0.9793,0.352682,0.21349,0.483754,1.305963,0.441424,0.307491,0.351162,255.879578,26.654564,12.675966,3.328826,0.851047,0.916014,0.645785,0.355672,0.111305,0.107951,0.97304,0.928397,0.426912,0.179284,0.129877,0.827941,1.011369,0.289191,0.065432,0.066253,1.092549,1.958625,0.370555,0.25716,0.170773,1.530126,4.242677,1.583993,0.353466,0.203912,2.179143,4.057416,0.663063,0.319771,0.203119,12.43405,2.366778,0.715518,0.392555,0.172833,7.194182,5.847055,0.511829,0.179662,0.234387,
lokeshpq1.normal.csv,2.958848,3.281579,0.41568,0.27948,0.170938,9.480085,1.513831,0.395272,0.286633,0.189681,4.862427,2.580394,0.37754,0.15692,0.144683,3.018006,2.870653,1.072041,0.337658,0.205525,0.855356,1.280499,0.431899,0.216776,0.356908,168.818176,17.157906,8.236379,2.168318,0.618366,0.809179,0.650903,0.319892,0.093727,0.088948,1.146563,1.117839,0.464021,0.171165,0.134871,1.06657,1.238467,0.335444,0.077005,0.079994,1.468695,2.03231,0.400334,0.271146,0.162585,2.032047,3.748446,1.859397,0.371521,0.194833,3.190113,4.496681,0.724426,0.308299,0.193787,13.641596,2.972673,0.857487,0.391676,0.186571,7.898789,5.4723,0.61102,0.197932,0.254857,
lokeshpq1.normal.csv,3.866922,3.402217,0.358486,0.283855,0.197152,8.946589,1.681204,0.442082,0.243727,0.189649,6.030355,2.876401,0.475733,0.156083,0.143553,4.406919,3.255098,1.11129,0.306743,0.191079,1.41083,1.297039,0.390956,0.144122,0.355932,96.612617,9.339258,4.572447,1.208952,0.422866,0.740464,0.696604,0.299395,0.076051,0.074853,1.440552,1.288714,0.531809,0.179257,0.136206,1.446076,1.415723,0.393839,0.106741,0.099279,1.947952,2.05353,0.456937,0.278057,0.161794,2.670212,3.357402,2.048099,0.405956,0.187374,4.763438,4.821752,0.78257,0.301193,0.188672,13.954543,4.349744,0.987486,0.425549,0.215727,8.160999,4.934056,0.728377,0.221505,0.273725,
lokeshpq1.normal.csv,4.789177,3.679445,0.346429,0.287365,0.227791,8.452245,1.875183,0.482858,0.214082,0.189526,7.037369,3.336963,0.600182,0.163786,0.146824,5.96858,3.854255,1.122094,0.272426,0.171187,2.07765,1.383783,0.338382,0.099895,0.349545,51.002087,4.679065,2.348635,0.618412,0.297339,0.708328,0.786119,0.28904,0.063499,0.06595,1.810351,1.413765,0.603163,0.203095,0.133372,1.877043,1.482881,0.445337,0.147889,0.118668,2.432156,2.031181,0.526136,0.275597,0.168293,3.22881,3.221479,2.127865,0.441118,0.180696,6.434967,5.022332,0.830363,0.304109,0.184477,13.717755,6.452792,1.085173,0.50824,0.258003,8.100811,4.424472,0.827007,0.249974,0.28176,
lokeshpq1.normal.csv,5.416276,3.99042,0.372737,0.290911,0.256652,8.523635,1.957904,0.496291,0.198288,0.187946,7.500482,3.824523,0.723667,0.177601,0.15318,7.376514,4.466817,1.125831,0.24589,0.150631,2.775029,1.513706,0.296723,0.082051,0.342132,31.007965,3.341051,1.56869,0.374493,0.243026,0.734342,0.895606,0.279312,0.060361,0.062542,2.223095,1.478219,0.647123,0.233687,0.127087,2.296235,1.415213,0.473323,0.189184,0.134259,2.847333,1.959445,0.580328,0.262371,0.178139,3.607229,3.329406,2.112654,0.463991,0.176377,7.746149,5.063745,0.856245,0.314762,0.180509,13.455361,8.842607,1.133829,0.624164,0.305246,7.930715,4.061804,0.874484,0.281623,0.274707,
lokeshpq1.normal.csv,5.495892,4.136792,0.414756,0.295546,0.277351,9.169925,1.848501,0.464487,0.195791,0.183488,7.214656,4.111281,0.813625,0.194116,0.160017,8.338613,4.841246,1.129862,0.234187,0.135124,3.407534,1.622421,0.281825,0.08227,0.336321,30.645191,5.748649,1.843266,0.428538,0.248637,0.830969,0.965805,0.261959,0.068211,0.0641,2.610716,1.470347,0.64155,0.259064,0.119112,2.612901,1.227558,0.469631,0.218975,0.143957,3.085252,1.825281,0.594424,0.239267,0.186125,3.663372,3.538944,2.031817,0.46908,0.176725,8.297413,4.866604,0.852685,0.325968,0.179259,13.25643,10.815502,1.1232,0.735566,0.346029,7.766898,3.826613,0.863166,0.312727,0.255453,
lokeshpq1.normal.csv,5.005799,3.967939,0.440159,0.300549,0.285957,9.840967,1.602026,0.396669,0.207104,0.176185,6.27088,4.017297,0.838597,0.209558,0.164517,8.819851,4.80135,1.118654,0.237405,0.129038,3.904207,1.646263,0.29594,0.094494,0.332308,47.517754,12.893845,2.998134,0.773,0.310701,0.982884,0.956114,0.234451,0.085006,0.069507,2.894274,1.437911,0.576396,0.269609,0.111685,2.786165,0.991851,0.437701,0.230933,0.147989,3.076794,1.622701,0.552933,0.210985,0.188124,3.53664,3.658659,1.904953,0.459607,0.183608,8.002719,4.39033,0.804884,0.329612,0.182986,12.984886,11.692979,1.056128,0.805222,0.370356,7.870389,3.583368,0.805635,0.339575,0.232019,
