Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Column1
lokeshspell.normal.csv,3.652227,0.484135,0.452354,0.547468,0.335875,12.294517,1.929399,1.271719,0.164751,0.137427,2.61284,0.222324,0.366705,0.214368,0.20532,199.425766,38.739426,12.862714,3.493497,0.727238,1.923767,0.315123,0.32998,0.249546,0.299071,126.929718,72.806,27.629961,8.001162,0.774917,0.676511,0.414709,0.223301,0.088434,0.13503,2.145329,0.452212,0.428463,0.168947,0.125612,1.320567,0.190007,0.39904,0.143302,0.17912,1.70123,0.383107,0.439741,0.225926,0.194898,11.270135,1.205028,0.531684,0.246951,0.294167,4.56003,0.620951,0.770293,0.310025,0.303154,2.72446,0.366743,0.451667,0.334049,0.14962,3.299143,0.275904,0.518559,0.372264,0.237406,
lokeshspell.normal.csv,3.952474,0.473439,0.44211,0.550197,0.338061,10.782371,1.93225,1.0787,0.162243,0.127982,3.142814,0.273887,0.318966,0.197183,0.210522,131.630188,24.930294,8.22283,2.299306,0.518744,1.810535,0.280539,0.3114,0.257933,0.267684,111.052498,66.745735,23.937759,7.620823,0.795746,0.631224,0.422589,0.236663,0.091752,0.128601,2.397789,0.504695,0.419579,0.169709,0.123862,1.592186,0.235326,0.449644,0.129763,0.180669,2.201883,0.430536,0.567991,0.23324,0.200576,9.308897,1.373841,0.625135,0.238924,0.298622,4.953791,0.755026,0.808709,0.297699,0.289073,3.201669,0.49451,0.573478,0.333434,0.160289,3.67739,0.304715,0.523866,0.378996,0.236807,
lokeshspell.normal.csv,4.065337,0.480065,0.460873,0.542496,0.34014,9.951835,1.802573,0.827516,0.159207,0.12241,3.800138,0.388344,0.302771,0.178778,0.215842,71.032288,12.974618,4.321286,1.301819,0.356587,1.606554,0.245246,0.291466,0.264861,0.24554,95.127998,58.288803,19.283339,6.445054,0.772121,0.620646,0.438723,0.254828,0.100853,0.121606,2.75982,0.549119,0.40896,0.164019,0.122945,2.022766,0.31398,0.493655,0.120282,0.185103,2.806541,0.483062,0.690648,0.239058,0.198544,8.407453,1.444204,0.738987,0.22174,0.292974,5.611392,0.916066,0.832824,0.280282,0.266999,3.762033,0.628186,0.722058,0.332829,0.167317,4.059115,0.366043,0.545501,0.38102,0.230153,
lokeshspell.normal.csv,3.953525,0.52767,0.513105,0.533105,0.341525,9.827234,1.581689,0.596875,0.158341,0.119855,4.42172,0.537704,0.333647,0.164531,0.217675,31.366434,5.239959,1.909818,0.692267,0.255094,1.395118,0.219342,0.272469,0.273481,0.239002,81.898804,47.762497,14.748395,4.824461,0.703194,0.650742,0.447887,0.27142,0.117093,0.113094,3.187012,0.588459,0.392171,0.153657,0.1222,2.523578,0.420438,0.518434,0.119535,0.193051,3.400083,0.535636,0.771438,0.248715,0.191337,8.468661,1.394701,0.847748,0.20436,0.278232,6.302699,1.079916,0.831285,0.26915,0.242287,4.241909,0.740078,0.863021,0.34075,0.171398,4.29144,0.461074,0.580492,0.382512,0.220888,
lokeshspell.normal.csv,3.664991,0.6201,0.586456,0.524035,0.344308,9.68891,1.347068,0.450635,0.161,0.122128,4.807202,0.682786,0.410534,0.159359,0.215104,12.262511,1.764283,0.915022,0.445369,0.204903,1.237763,0.210995,0.254284,0.286826,0.254345,74.237076,36.667427,11.349994,3.24668,0.60873,0.70699,0.438354,0.278764,0.138969,0.103785,3.549123,0.626552,0.367552,0.142668,0.121887,2.937159,0.548562,0.517309,0.129825,0.204592,3.807678,0.584792,0.785058,0.2665,0.185711,9.052361,1.237341,0.926275,0.198214,0.259995,6.75156,1.225489,0.797864,0.27192,0.223229,4.470224,0.801454,0.959386,0.360879,0.175073,4.319703,0.584806,0.612694,0.387546,0.214146,
lokeshspell.normal.csv,3.176505,0.753942,0.657057,0.511136,0.350618,9.074695,1.184477,0.4158,0.170095,0.131783,4.788586,0.797901,0.509987,0.167437,0.209036,6.523163,0.87397,0.73751,0.39706,0.183471,1.14572,0.219845,0.234473,0.304411,0.293073,74.133011,27.431702,9.725864,2.117098,0.515411,0.752114,0.406165,0.27463,0.162891,0.095552,3.68415,0.659921,0.337295,0.135947,0.122123,3.109547,0.68809,0.489816,0.149746,0.218206,3.867893,0.623004,0.726063,0.289945,0.188286,9.320541,1.044129,0.962028,0.210593,0.243922,6.71418,1.343901,0.730551,0.290401,0.215747,4.322457,0.799634,0.986602,0.389567,0.179937,4.010772,0.729533,0.62225,0.397672,0.213748,
lokeshspell.normal.csv,2.59612,0.916833,0.700892,0.487475,0.360078,8.017659,1.125898,0.482306,0.184871,0.149781,4.340156,0.873916,0.597564,0.189411,0.201006,4.979851,0.744919,0.75651,0.384365,0.171241,1.090317,0.237242,0.210425,0.32104,0.348071,78.978714,21.801376,9.686993,1.57104,0.444919,0.748372,0.35669,0.265408,0.184139,0.089598,3.467611,0.680072,0.306314,0.136103,0.122384,2.954828,0.820973,0.440472,0.174368,0.230728,3.520242,0.641579,0.610096,0.312461,0.201648,8.551991,0.916163,0.958203,0.240403,0.232724,6.102002,1.442895,0.639983,0.318956,0.219726,3.790803,0.75427,0.941693,0.418808,0.185549,3.453984,0.883116,0.59717,0.409632,0.220385,
lokeshspell.normal.csv,1.994945,1.087133,0.712373,0.445903,0.368446,6.594094,1.171461,0.618718,0.204261,0.173148,3.561105,0.917912,0.647919,0.220172,0.19207,3.873793,0.631386,0.77598,0.36519,0.163278,0.998694,0.252317,0.180988,0.328825,0.403697,83.905571,19.805521,10.450345,1.442853,0.404304,0.685246,0.301266,0.264072,0.197772,0.085717,2.938654,0.676978,0.281596,0.141995,0.121781,2.516345,0.924749,0.377438,0.19671,0.238316,2.853089,0.6392,0.469353,0.327044,0.223042,7.033839,0.92198,0.925198,0.279113,0.226106,5.015488,1.526649,0.549183,0.346687,0.229399,3.200979,0.707227,0.844337,0.440744,0.190352,2.711447,1.0307,0.545939,0.415319,0.231147,
lokeshspell.normal.csv,1.495168,1.244075,0.703991,0.389227,0.369392,5.126015,1.283582,0.792868,0.227079,0.195633,2.683509,0.964333,0.658737,0.252781,0.183082,2.264578,0.575971,0.816479,0.347143,0.15978,0.923298,0.259509,0.149009,0.322359,0.443008,85.179771,20.085163,11.175486,1.44487,0.391294,0.62105,0.266483,0.286354,0.202248,0.083079,2.182472,0.653163,0.270519,0.150365,0.119525,1.892226,0.988546,0.313287,0.211204,0.237743,2.059194,0.62459,0.342915,0.329941,0.245487,5.229537,1.08211,0.88764,0.315964,0.222472,3.692965,1.604975,0.488406,0.365526,0.237785,2.725353,0.706692,0.73172,0.454484,0.193123,2.013912,1.168805,0.494409,0.409143,0.240523,
lokeshspell.normal.csv,1.220991,1.376097,0.682543,0.331912,0.357764,4.17657,1.397002,0.968757,0.251196,0.210926,1.942034,1.053534,0.638165,0.28049,0.174684,1.751918,0.60209,0.863656,0.333038,0.158523,0.830336,0.266804,0.119561,0.303397,0.457451,84.268822,21.499126,11.801353,1.39189,0.402988,0.717352,0.293491,0.34095,0.198684,0.080849,1.462379,0.642404,0.276743,0.157615,0.114996,1.292995,1.018079,0.259867,0.21404,0.227102,1.372459,0.613315,0.256133,0.319799,0.260234,3.442405,1.368846,0.849401,0.340299,0.219416,2.478314,1.697909,0.465072,0.371022,0.240194,2.805062,0.795575,0.628751,0.460915,0.193061,1.489757,1.3135,0.458204,0.390892,0.242189,
