POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
6.794628,0.85845,0.791876,0.626518,0.884354,23.166883,5.200193,1.660033,1.12582,0.698283,2.736992,0.881639,0.812824,0.718571,1.043054,5.710179,1.648013,1.510857,1.535424,1.785825,3.590945,2.285837,1.698,1.875449,1.892244,3.732955,0.547771,0.665789,0.89215,1.458382,1.685724,0.315198,0.440592,0.695947,1.193443,1.006845,0.29919,0.62875,0.591897,0.520642,1.599063,0.357664,0.888102,0.79478,0.570408,4.566908,0.879931,0.281743,0.594189,1.127587,3.713005,0.796298,1.163301,1.317749,1.612383,3.93011,0.886226,0.751833,0.798309,1.171916,11.361555,2.018767,0.668311,1.447256,1.100886,8.86058,1.198912,1.120153,1.209593,0.989627
11.397885,1.218696,0.804161,0.618367,0.860624,33.934811,5.208308,1.645458,1.088552,0.752292,3.888007,0.806378,0.710265,0.625883,0.904354,7.914152,1.709158,1.3469,1.387092,1.603507,2.998934,1.776587,1.370177,1.498554,1.709273,3.904497,0.408271,0.466351,0.81499,1.343717,1.990289,0.312277,0.330622,0.588436,1.075228,1.074559,0.35192,0.702437,0.505728,0.478723,1.68101,0.363548,0.916847,0.646296,0.533022,3.662125,0.825918,0.275138,0.503278,1.081981,5.416448,0.982424,1.455987,1.444022,1.655927,5.792171,0.838313,0.822576,0.719983,1.056943,17.760336,3.069196,0.981778,1.452122,1.141141,15.965776,1.646488,1.205093,1.171614,1.12873
17.128809,1.614892,0.921525,0.653146,0.854836,49.08593,5.7512,1.746184,1.131656,0.857878,5.195089,0.732793,0.687128,0.57201,0.80827,10.670292,1.8195,1.335732,1.268043,1.428177,2.505841,1.316255,1.057661,1.231452,1.444168,3.895862,0.311513,0.290937,0.758021,1.235948,2.354601,0.340783,0.251475,0.508444,0.992067,1.250063,0.424024,0.839328,0.434976,0.463639,1.841959,0.372508,0.978241,0.536326,0.538155,2.933961,0.745672,0.366696,0.438781,1.018902,7.658406,1.15089,1.853461,1.578202,1.699733,8.135736,0.798313,0.981339,0.718006,1.000531,25.379,4.189734,1.43372,1.4771,1.221119,24.899544,2.121265,1.46275,1.164099,1.312533
22.491928,1.937854,1.126506,0.712642,0.872766,65.432205,6.672016,1.938741,1.217489,0.989802,6.385352,0.690469,0.750767,0.574171,0.771366,13.46269,1.935001,1.478022,1.200537,1.312906,2.219536,0.989385,0.845232,1.116787,1.181803,3.713534,0.271135,0.174064,0.730754,1.160048,2.682636,0.397086,0.20642,0.470737,0.954798,1.535773,0.503357,1.007281,0.402064,0.480577,2.100048,0.393337,1.075089,0.497554,0.583878,2.713983,0.671708,0.530457,0.434884,0.963351,10.025744,1.258839,2.265288,1.654404,1.748583,10.593228,0.802947,1.193944,0.797476,1.006614,32.327637,5.096169,1.944146,1.50666,1.327068,33.206608,2.494931,1.829383,1.175252,1.501762
25.896557,2.07978,1.340846,0.769085,0.906418,77.64241,7.547403,2.123682,1.279476,1.107494,7.071059,0.683768,0.858985,0.620431,0.77828,15.275981,1.979615,1.675228,1.173395,1.263088,2.121139,0.798852,0.75744,1.123469,0.990899,3.471501,0.280062,0.123501,0.722231,1.124811,2.939465,0.465696,0.189099,0.471914,0.949059,1.892939,0.568922,1.14784,0.411775,0.521471,2.422804,0.428756,1.178087,0.529033,0.65457,3.042674,0.625823,0.713383,0.507965,0.944425,11.813471,1.280164,2.558998,1.640417,1.804202,12.422105,0.853996,1.384742,0.934063,1.051342,36.408466,5.520655,2.376296,1.515191,1.435449,38.462685,2.645746,2.169797,1.193888,1.651812
26.433388,1.989263,1.462352,0.801753,0.940504,82.722565,7.860721,2.189727,1.263831,1.172775,7.172771,0.690085,0.945866,0.678842,0.795805,15.897195,1.884765,1.790205,1.153617,1.243604,2.118814,0.690441,0.755378,1.178867,0.897726,3.32651,0.318393,0.13257,0.714106,1.121839,3.114569,0.526178,0.195991,0.499713,0.947504,2.23941,0.595855,1.206946,0.456179,0.568355,2.761347,0.463565,1.243033,0.608416,0.726301,3.672345,0.606535,0.86631,0.650956,0.977432,12.731234,1.213293,2.630908,1.56309,1.858783,13.343317,0.913466,1.474535,1.086717,1.097243,36.617031,5.34894,2.580121,1.480532,1.520699,39.154919,2.527071,2.333011,1.219426,1.733143
24.979078,1.73623,1.421632,0.808537,0.962898,81.891518,7.372495,2.091053,1.165514,1.17123,6.784791,0.68146,0.953674,0.715605,0.794993,15.616325,1.649591,1.721675,1.113529,1.210818,2.125818,0.601737,0.773459,1.214063,0.89058,3.285842,0.36358,0.18727,0.692897,1.132571,3.150702,0.557832,0.219339,0.538694,0.928054,2.437982,0.577066,1.154902,0.517461,0.60303,2.985154,0.482945,1.225836,0.70222,0.77784,4.208855,0.615907,0.960874,0.84157,1.056088,12.868678,1.119342,2.462709,1.490533,1.894419,13.257784,0.951007,1.418511,1.210251,1.11465,34.735481,4.835796,2.495444,1.404785,1.565788,36.825527,2.271084,2.240515,1.261138,1.740297
23.837902,1.457665,1.224588,0.802336,0.970954,80.464745,6.241308,1.845643,1.029377,1.120395,6.440774,0.654231,0.868638,0.713869,0.767805,15.558964,1.344613,1.461838,1.051435,1.147452,2.12001,0.511453,0.757548,1.210153,0.945478,3.35089,0.399456,0.275556,0.661022,1.137498,3.08475,0.55477,0.253231,0.576091,0.885318,2.483886,0.530166,1.006095,0.578717,0.616567,3.103153,0.492373,1.116623,0.784059,0.800013,4.513608,0.686098,0.985385,1.045807,1.157942,13.17527,1.118092,2.130922,1.492594,1.89379,12.856169,0.990251,1.228321,1.273588,1.095104,35.515289,4.543578,2.207235,1.327804,1.571875,35.362293,2.105542,1.930795,1.329281,1.691785
25.126406,1.325827,0.947232,0.799756,0.967283,83.643845,4.853449,1.554536,0.917232,1.052831,6.51319,0.643511,0.727419,0.680456,0.723726,16.635231,1.092317,1.10679,0.997342,1.069863,2.17671,0.422291,0.691717,1.196256,1.047153,3.383707,0.423613,0.388052,0.637297,1.124201,2.890404,0.535673,0.297088,0.608288,0.826456,2.347341,0.476866,0.807813,0.632903,0.611122,3.041408,0.511062,0.946198,0.842797,0.795069,4.483214,0.853142,0.937626,1.224759,1.250867,14.350023,1.328053,1.754541,1.610029,1.853785,12.916111,1.095099,0.976515,1.270176,1.046597,42.992893,5.069476,1.893074,1.313448,1.553173,38.438232,2.264075,1.536893,1.436805,1.617537
29.98917,1.436123,0.677312,0.819039,0.953746,100.713661,3.629,1.325487,0.889863,0.997698,7.363441,0.681036,0.573451,0.638949,0.675734,19.5196,0.967679,0.760495,1.002699,1.006072,2.316174,0.34145,0.599051,1.209467,1.194018,3.362661,0.443751,0.515295,0.641541,1.090417,2.687319,0.526199,0.349187,0.637265,0.761709,2.180064,0.432154,0.616202,0.683317,0.596795,2.919324,0.553773,0.765287,0.881293,0.772218,4.481903,1.126853,0.833068,1.349453,1.305054,16.966009,1.76384,1.426599,1.855678,1.787936,15.260556,1.325412,0.783458,1.216955,0.987419,59.235802,6.597441,1.714069,1.42395,1.526425,48.138489,2.816559,1.179321,1.615192,1.552199
